Product Name,Category,Dosage Form,Price,Trademark,Brand Origin,Country,Rating
"Kem chống nắng, dưỡng ẩm và làm sáng da Reihaku Hatomugi UV Milky Gel SPF50+ PA++++ (80g)",Chống nắng toàn thân,Dạng kem,199000.0,HATOMUGI,Nhật Bản,Nhật Bản,5.0
Gel Diosmin Expert Omniven Gambe hỗ trợ phục hồi tình trạng suy giãn tĩnh mạch chân (150ml),Chăm sóc cơ thể,Dạng kem,479000.0,DuLàc,Ý,Ý,5.0
"Gel Skleer Natural Skin Restoration giảm viêm, dưỡng ẩm và phục hồi da (30ml)","Sữa dưỡng thể, kem dưỡng thể",Nhũ tương (Gel),399000.0,SKLEER,Mỹ,Nam Phi,5.0
"Gel tắm và vệ sinh phụ nữ Herbal Nano Vinapharma giúp làm sạch, kháng viêm (105ml)","Lăn khử mùi, xịt khử mùi",Nhũ tương (Gel),69000.0,VINAPHARMA,Việt Nam,Việt Nam,5.0
Kem bôi vùng khớp Stabil Aflofarm Krem (75g),Chăm sóc cơ thể,Dạng kem,197500.0,Aflofarm,Ba Lan,Ba Lan,5.0
"Kem Preggers Soothing Nipple Cream Fixderma hỗ trợ dưỡng ẩm, phục hồi, làm dịu núm vú bị khô (20g)",Chăm sóc cơ thể,Dạng kem,305000.0,Fixderma,Mỹ,Ấn Độ,NULL
"Bọt vệ sinh phụ nữ Lá Sen Natural Feminine làm sạch, dịu da, giảm thâm sạm (160ml)","Lăn khử mùi, xịt khử mùi",Dạng bọt,129000.0,Natural Feminine,Việt Nam,Việt Nam,NULL
"Bọt vệ sinh phụ nữ Natural Feminine làm sạch, thơm mát, duy trì cân bằng PH (160ml)","Lăn khử mùi, xịt khử mùi",Dạng bọt,134000.0,Natural Feminine,Việt Nam,Việt Nam,NULL
Gel nhuộm tóc phủ bạc Flash Lavox G04 màu nâu cà phê (150ml),Dầu gội dầu xả,Gel,124820.0,LAVOX,NULL,Việt Nam,NULL
"Kem dưỡng Fixderma Nigrilite Cream làm sạch tế bào da chết, mờ thâm, sáng da sẫm màu (50g)","Da sạm, xỉn màu",Dạng kem,250000.0,Fixderma,Mỹ,Ấn Độ,NULL
